FrameNum,timeInfo,signal-target
3141.00,[12:57:03.7704],356555
3142.00,[12:57:03.7904],320381
3143.00,[12:57:03.8105],335945
3144.00,[12:57:03.8305],295548
3145.00,[12:57:03.8506],352465
3146.00,[12:57:03.8706],378673
3147.00,[12:57:03.8906],478489
3148.00,[12:57:03.9107],464803
3149.00,[12:57:03.9307],439245
3150.00,[12:57:03.9508],415651
3151.00,[12:57:03.9708],364383
3152.00,[12:57:03.9908],405302
3153.00,[12:57:04.0109],416207
3154.00,[12:57:04.0309],402851
3155.00,[12:57:04.0509],434117
3156.00,[12:57:04.0710],420174
3157.00,[12:57:04.0910],384704
3158.00,[12:57:04.1111],382275
3159.00,[12:57:04.1311],389821
3160.00,[12:57:04.1511],361339
3161.00,[12:57:04.1712],346277
3162.00,[12:57:04.1912],387277
3163.00,[12:57:04.2113],398798
3164.00,[12:57:04.2313],367761
3165.00,[12:57:04.2513],366093
3166.00,[12:57:04.2714],337079
3167.00,[12:57:04.2914],378231
3168.00,[12:57:04.3115],347705
3169.00,[12:57:04.3315],294600
3170.00,[12:57:04.3515],418038
3171.00,[12:57:04.3716],385333
3172.00,[12:57:04.3916],370497
3173.00,[12:57:04.4116],351883
3174.00,[12:57:04.4317],476914
3175.00,[12:57:04.4517],407008
3176.00,[12:57:04.4718],329853
3177.00,[12:57:04.4918],388466
3178.00,[12:57:04.5118],414838
3179.00,[12:57:04.5319],390575
3180.00,[12:57:04.5519],378793
3181.00,[12:57:04.5720],414885
3182.00,[12:57:04.5920],399749
3183.00,[12:57:04.6120],346245
3184.00,[12:57:04.6321],300160
3185.00,[12:57:04.6521],369269
3186.00,[12:57:04.6721],440052
3187.00,[12:57:04.6922],426795
3188.00,[12:57:04.7122],396561
3189.00,[12:57:04.7323],387233
3190.00,[12:57:04.7523],481250
3191.00,[12:57:04.7723],423292
3192.00,[12:57:04.7924],386622
3193.00,[12:57:04.8124],436471
3194.00,[12:57:04.8325],495630
3195.00,[12:57:04.8525],469892
3196.00,[12:57:04.8725],452295
3197.00,[12:57:04.8926],418252
3198.00,[12:57:04.9126],351853
3199.00,[12:57:04.9327],379027
3200.00,[12:57:04.9527],415315
3201.00,[12:57:04.9727],426253
3202.00,[12:57:04.9928],403689
3203.00,[12:57:05.0128],486798
3204.00,[12:57:05.0328],401906
3205.00,[12:57:05.0529],396086
3206.00,[12:57:05.0729],340312
3207.00,[12:57:05.0930],341546
3208.00,[12:57:05.1130],342114
3209.00,[12:57:05.1330],342372
3210.00,[12:57:05.1531],359919
3211.00,[12:57:05.1731],356537
3212.00,[12:57:05.1932],411198
3213.00,[12:57:05.2132],372758
3214.00,[12:57:05.2332],398332
3215.00,[12:57:05.2533],438990
3216.00,[12:57:05.2733],448168
3217.00,[12:57:05.2933],381767
3218.00,[12:57:05.3134],378072
3219.00,[12:57:05.3334],394019
3220.00,[12:57:05.3535],349027
3221.00,[12:57:05.3735],392135
3222.00,[12:57:05.3935],395568
3223.00,[12:57:05.4136],457820
3224.00,[12:57:05.4336],415459
3225.00,[12:57:05.4537],423219
3226.00,[12:57:05.4737],399854
3227.00,[12:57:05.4937],335961
3228.00,[12:57:05.5138],357914
3229.00,[12:57:05.5338],416459
3230.00,[12:57:05.5539],374089
3231.00,[12:57:05.5739],386467
3232.00,[12:57:05.5939],378163
3233.00,[12:57:05.6140],393091
3234.00,[12:57:05.6340],384630
3235.00,[12:57:05.6540],448998
3236.00,[12:57:05.6741],440060
3237.00,[12:57:05.6941],465155
3238.00,[12:57:05.7142],449354
3239.00,[12:57:05.7342],338940
3240.00,[12:57:05.7542],386710
3241.00,[12:57:05.7743],398975
3242.00,[12:57:05.7943],383377
3243.00,[12:57:05.8144],376734
3244.00,[12:57:05.8344],368049
3245.00,[12:57:05.8544],380308
3246.00,[12:57:05.8745],429664
3247.00,[12:57:05.8945],435790
3248.00,[12:57:05.9145],475608
3249.00,[12:57:05.9346],458052
3250.00,[12:57:05.9546],392166
3251.00,[12:57:05.9747],384203
3252.00,[12:57:05.9947],425733
3253.00,[12:57:06.0147],395649
3254.00,[12:57:06.0348],447023
3255.00,[12:57:06.0548],419333
3256.00,[12:57:06.0749],420621
3257.00,[12:57:06.0949],341452
3258.00,[12:57:06.1149],414529
3259.00,[12:57:06.1350],472229
3260.00,[12:57:06.1550],477028
3261.00,[12:57:06.1750],380001
3262.00,[12:57:06.1951],392807
3263.00,[12:57:06.2151],455687
3264.00,[12:57:06.2352],474257
3265.00,[12:57:06.2552],419312
3266.00,[12:57:06.2752],398074
3267.00,[12:57:06.2953],360574
3268.00,[12:57:06.3153],448518
3269.00,[12:57:06.3354],467714
3270.00,[12:57:06.3554],380264
3271.00,[12:57:06.3754],363342
3272.00,[12:57:06.3955],442262
3273.00,[12:57:06.4155],397889
3274.00,[12:57:06.4356],381239
3275.00,[12:57:06.4556],379030
3276.00,[12:57:06.4756],368026
3277.00,[12:57:06.4957],402096
3278.00,[12:57:06.5157],378289
3279.00,[12:57:06.5357],337399
3280.00,[12:57:06.5558],329214
3281.00,[12:57:06.5758],417426
3282.00,[12:57:06.5959],491531
3283.00,[12:57:06.6159],477013
3284.00,[12:57:06.6359],397860
3285.00,[12:57:06.6560],385872
3286.00,[12:57:06.6760],451889
3287.00,[12:57:06.6961],409033
3288.00,[12:57:06.7161],437654
3289.00,[12:57:06.7361],403643
3290.00,[12:57:06.7562],502411
3291.00,[12:57:06.7762],366829
3292.00,[12:57:06.7962],310101
3293.00,[12:57:06.8163],375234
3294.00,[12:57:06.8363],411050
3295.00,[12:57:06.8564],352527
3296.00,[12:57:06.8764],369767
3297.00,[12:57:06.8964],424772
3298.00,[12:57:06.9165],409927
3299.00,[12:57:06.9365],374330
3300.00,[12:57:06.9566],370659
3301.00,[12:57:06.9766],435359
3302.00,[12:57:06.9966],451798
3303.00,[12:57:07.0167],370053
3304.00,[12:57:07.0367],377719
3305.00,[12:57:07.0568],358469
3306.00,[12:57:07.0768],397082
3307.00,[12:57:07.0968],335935
3308.00,[12:57:07.1169],351519
3309.00,[12:57:07.1369],359020
3310.00,[12:57:07.1569],407691
3311.00,[12:57:07.1770],401310
3312.00,[12:57:07.1970],374566
3313.00,[12:57:07.2171],461951
3314.00,[12:57:07.2371],451978
3315.00,[12:57:07.2571],364645
3316.00,[12:57:07.2772],442919
3317.00,[12:57:07.2972],384640
3318.00,[12:57:07.3173],444719
3319.00,[12:57:07.3373],432801
3320.00,[12:57:07.3573],423011
3321.00,[12:57:07.3774],404035
3322.00,[12:57:07.3974],384779
3323.00,[12:57:07.4174],443428
3324.00,[12:57:07.4375],349499
3325.00,[12:57:07.4575],378422
3326.00,[12:57:07.4776],343284
3327.00,[12:57:07.4976],387620
3328.00,[12:57:07.5176],363607
3329.00,[12:57:07.5377],375737
3330.00,[12:57:07.5577],392533
3331.00,[12:57:07.5778],407929
3332.00,[12:57:07.5978],381574
3333.00,[12:57:07.6178],394312
3334.00,[12:57:07.6379],424243
3335.00,[12:57:07.6579],453839
3336.00,[12:57:07.6780],369729
3337.00,[12:57:07.6980],376566
3338.00,[12:57:07.7180],388608
3339.00,[12:57:07.7381],428362
3340.00,[12:57:07.7581],407285
3341.00,[12:57:07.7781],360397
3342.00,[12:57:07.7982],495910
3343.00,[12:57:07.8182],414813
3344.00,[12:57:07.8383],320282
3345.00,[12:57:07.8583],390254
