FrameNum,timeInfo,signal-obj,signal-track,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj,appsum-track,avgbkg-track,stdbkg-track,nmaskpx-track,maxpx-track,xcentroid-track,ycentroid-track
8686.00,[14:04:58.1472166],-1733.00,31345.00,449072.00,12183.93,3252.54,-37,22448,383.00,424.00,424224.00,10618.35,910.58,-37,15072,205.00,151.00
8687.00,[14:04:58.1573165],-7434.00,39355.00,446112.00,12258.00,3209.82,-37,23472,383.00,424.00,429920.00,10555.81,876.79,-37,15520,205.00,151.00
8688.00,[14:04:58.1674163],-4828.00,37442.00,446672.00,12202.71,3297.11,-37,23920,383.00,424.00,427072.00,10530.54,887.52,-37,14592,205.00,151.00
8689.00,[14:04:58.1775162],-11209.00,39947.00,438336.00,12149.88,3219.24,-37,23216,383.00,424.00,431280.00,10576.57,877.40,-37,16128,205.00,151.00
8690.00,[14:04:58.1876161],-8316.00,38813.00,442672.00,12188.85,3217.26,-37,24272,383.00,424.00,427888.00,10515.54,923.55,-37,17344,205.00,151.00
8691.00,[14:04:58.1977159],-11430.00,28221.00,452144.00,12529.02,2647.12,-37,24752,382.00,424.00,123504.00,10586.99,882.72,9,17760,204.00,151.00
8692.00,[14:04:58.2078158],-9329.00,40360.00,452832.00,12490.84,2701.35,-37,23440,382.00,424.00,429680.00,10522.15,919.22,-37,15392,204.00,151.00
8693.00,[14:04:58.2179156],-13507.00,30728.00,448192.00,12478.35,2706.35,-37,24240,382.00,424.00,125760.00,10559.06,866.69,9,15136,203.67,150.89
8694.00,[14:04:58.2280155],-18427.00,41184.00,446432.00,12563.75,2722.74,-37,23536,382.00,424.00,431920.00,10560.43,913.95,-37,16192,204.00,151.00
8695.00,[14:04:58.2381154],-19309.00,46117.00,443904.00,12519.28,2637.47,-37,25328,382.00,424.00,436576.00,10552.95,894.91,-37,16352,204.00,151.00
8696.00,[14:04:58.2482152],-6727.00,43845.00,455328.00,12487.98,2735.89,-37,23536,382.00,424.00,436272.00,10606.13,895.29,-37,17856,204.00,151.00
8697.00,[14:04:58.2583151],-16307.00,36491.00,445136.00,12471.43,2683.13,-37,24656,382.00,424.00,429824.00,10630.63,861.89,-37,16352,204.00,151.00
8698.00,[14:04:58.2684149],-19388.00,38304.00,443216.00,12502.81,2732.55,-37,23504,382.00,424.00,430704.00,10605.41,881.25,-37,18144,204.00,151.00
8699.00,[14:04:58.2785148],-16815.00,27669.00,445312.00,12489.92,2632.41,-37,24272,382.00,424.00,418944.00,10575.00,889.08,-37,15552,204.00,151.00
8700.00,[14:04:58.2886146],-12246.00,33171.00,451136.00,12523.84,2679.67,-37,22928,382.00,424.00,422736.00,10528.78,899.46,-37,16544,204.00,151.00
8701.00,[14:04:58.2987145],-9334.00,27787.00,453840.00,12518.21,2732.31,-37,24016,382.00,424.00,417776.00,10540.25,874.12,-37,15936,204.00,151.00
